Street Name,lights

SASTHRI STREET,26

GANAPATHY NANJAPPAN STREET,14

SAMPATH STREET,44

KAKKAN STREET,10

GOVINDASAMY STREET,7

NEW MULLAI NAGAR,13

S P KANNUSAMY STREET,105

SHANMUGA GOUNDER STREET,5

THAIR ETTERY ROAD,15

MURUGAN NAGAR (I) STREET,5

MURUGAN NAGAR (II) STREET,6

MURUGAN NAGAR (II) STREET CROSS-4,2

MURUGAN NAGAR (III) STREET,2

MURUGAN NAGAR (II) STREET CROSS-2,1

BALUSAMY NAGAR,10

R G NAGAR,11

NEHRU NAGAR,84

ANNA NAGAR,119

NANDHI NAGAR,4

VELLAMMAL STREET,5

M.G.R NAGAR,21

LAKSHMIAMMAL STREET,11

ARUL NAGAR,50

NANJAPPA STREET,17

SARADHAMANI STREET,4

RAMAR STREET,4

PAL MARIAMMAN KOVIL STREET,1

AGAMUDAIYAR STREET,6

SUNDARAPPA STREET / THILAI NAGAR,5

CHINNATHAMBI STREET,10

ANBU NAGAR / THILAI NAGAR,2

THILAI NAGAR,14

NARAYANASAMY LAYOUT,93

NALAMPALAYAM ROAD,1

RANGAPPAN STREET,4

KAMACHI NAGAR,8

NARAYANASAMY GOUNDER STREET,19

MARUDHACHALAM GOUNDER STREET,2

OOR VELAPPAR STREET,1

SWAMY STREET,4

KANNAPPA NAGAR 9TH STREET,4

KANNAPPA NAGAR  FIRST STREET,3

KANNAPPA NAGAR FIRST STREET,3

KANNAPPA NAGAR 2ND STREET,6

KANNAPPA NAGAR 6TH STREET,6

KANNAPPA NAGAR MAIN STREET,1

KANNAPPA NAGAR 10TH  STREET,1

KANNAPPA NAGAR 8TH STREET,4

KANNAPPA NAGAR 7TH STREET,6

KANNAPPA NAGAR 5TH STREET,5

KANNAPPA NAGAR 4TH STREET,7

KANNAPPA NAGAR 3RD STREET,6

GANESH LAYOUT MAIN ROAD,13

RAJIV GANDHI NAGAR,96

RAJIV GANDHI SALAI,25

VEDHAMBAL NAGAR,20

SANGANOOR MAIN ROAD,15

KANARAJAPUR 3RD STREET,7

KAMARAJAPURAM 2ND STREET,3

KAMARAJAPURAM,26

PATHI GOUNDER THOTTAM,64

KAMARAJAPURAM  FIRST STREET,4

AYYAVU STREET,3

PERIYASAMY LAYOUT,41

SANGANOOR ROAD CROSS,9

SANGANOOR ROAD,32

ANNA NAGAR (II) STREET,7

LAKSHMANA GOUNDER STREET,3

THANDAL RAMAN  STREET,7

GANDHI NAGAR,113

LENIN NAGAR,10

ANNA NAGAR (I) STREET,2

KANNAN NAGAR,45

TNEB COLONY,9

ANNA STREET,25

PATEL STREET,18

NEHRU STREET,68

SUPPATHAAL STREET,12

MESTHRI MARAPPAN STREET,6

THAIYER ITTERY,11

MARUTHAKUTTI STREET,41

SUPPATHAAL LAYOUT K M STREET 1,14

NATESAN GOUNDER LAYOUT 1,7

VISWANATHA PURAM MAIN ROAD,8

VISWANATHA PURAM STREET 2,7

ARIGNAR ANNA COLONY-NORTH,17

ARIGNAR ANNA COLONY,3

ARIGNAR ANNA COLONY-SOUTH,10

SANGANUR PALLAM,10

RAJU NAIDU ROAD,23

DR.RADHAKRISHNAN ROAD,17

KAMAKODI NAGAR,5

R K NAGAR,5

BALAJI LAYOUT,28

EDWIN NAGAR,6

SUBBAMMAL NAGAR,7

PONGIYAMMAL STREET,15

KANNAPPAN STREET,6

SATHIYAVANI MUTHU STREET,4

GOVINDASAMY STREET THEN VADAL CROSS 1,2

KAKKAN STREET CROSS 1,6

BAKTHAVACHALAM STREET,8

CHINNMAL STREET,4

AMARAR JEEVA ROAD(SANGANOOR ROAD),11

CHELLAPPA GOUNDER LAYOUT,24

PALANISAMY STREET,21

S P KUMARASAMY STREET,20

GANESH STREET,5

G V RAMASAMY STREET,7

RANGANNA GOUNDER STREET,7

V RAMASAMY STREET,7

ARUMUGA GOUNDER STREET,9

P M SAMY COLONY,44

INDIRA NAGAR,135

C M PALANIYAPPAN STREET,9

DASAPPAN STREET,7

CHEKKAN THOTTAM EXTENSION,14

LAKSHMIPURAM STREET 2,5

LAKSHMIPURAM STREET,14

RAILWAY LINE STREET,8

CHEKKAN THOTTAM STREET 2,10

G.V.RAMASAMY STREET,1

SAMPATH STREET THEN VADAL CROSS 1,3

SAMPATH STREET THEN VADAL CROSS 2,4

VELUSAMY STREET,11

SASTHRI STREET K M CROSS,6

RAMADASS STREET,12

R.KANDASWAMY STREET,8

SOMAIYANUR KANAPPAN STREET,5

SUBRAMANIAM STREET,9

MESTHRI SWAMY NATHAN STREET,5

MESTHIRI PALANIAPPAN STREET,6

MAHESHWARI NAGAR,19

TEACHERS COLONY,34

PALANIAMMAL STREET,2

CHELLAPPA STREET,12

MANIKKAVASAKAR STREET,3

MARUTHAKUTTI SECOND STREET,8

THIRUVALLVAR STREET,3

KARUNANITHI STREET,9

PERIYAR STREET,22

SATHICKBASHA STREET,5

CHINNAMMAL STREET,26

KUTTIGOUNDER STREET,13

MATHIALAGAN STREET,6

CHINNA THAMBI STREET,8

SAMIYAPPAN STREET,5

BUVA RAGAVAN STREET,4

MADHAVAN STREET,4

ISAK STREET,12

GANAPATHY VENKATACHALAM STREET,4

V O C SECOND STREET,6

V O C STREET,32

CHINNASAMY NAGAR,11

V O C THIRD STREET,4

SUPPATHAAL LAYOUT K M STREET 3,4

SUPPATHAAL LAYOUT K M STREET 2,9

SUPPATHAAL SOUTH VADAL STREET 1,3

CHEKKAN THOTTAM STREET 1,9

SATHY ROAD,116

NEDUCHEYLAN  STREET,10

MOHAMMED ALI STREET,6

SADAIYAPPAN STREET,15

CHINNAPPAN STREET,19

SUPPATHAAL LAYOUT,2

SELVA GANAPATHY GARDEN,11

NACHIMUTHU NAGAR,14

KRISHNA LAYOUT,5

MUTHUKUMAR STREET,2

MUTHUKUMAR STREET 2ND CROSS,2

MUTHUKUMAR STREET 5TH CROSS,3

G P M NAGAR 2,4

G P M NAGAR 1,2

SIVA NAGAR,16

POOMPUGAR NAGAR,10

NATESAN GOUNDER LAYOUT 2,3

ANNA PUTHU STREET,11

GOVINDASAMY LAYOUT,44

KANDHASAMY LAYOUT,32

DR.SIVANANDA NAGAR,33

A.N.P SOCIETY COLONY,17

V.C.K LAYOUT,2

KANNUSAMY LAYOUT,2

HOSIMEINNA NAGAR,26

GANDHIPURAM 7TH STREET EXTENSION,14

POWER HOUSE ROAD,11

GANDHIPURAM 6TH STREET EXTENSION,21

DR RADHAKRISHNAN ROAD,27

TATABAD 9TH STREET,7

TATABAD 8TH STREET,9

TATABAD 7TH STREET,7

GANDHIPURAM 5TH STREET EXTENSION,6

DR RAJENDRAPRASAD ROAD,21

TATABAD 6TH STREET,7

TATABAD 5TH STREET,5

TATABAD 11TH STREET,18

GANDHIPURAM 7TH STREET,14

TATABAD 10TH STREET,10

PONNAY STREET,61

GOKULE STREET,20

DR NANJAPPA ROAD,6

TATABAD STREET 3,16

TATABAD STREET 2,7

TATABAD STREET 1,7

GANDHIPURAM 5TH STREET,11

GANDHIPURAM 6TH STREET,15

GANDHIPURAM 8TH STREET,9

KALINGARAYAN STREET,20

RAJAJI ROAD,22

GANDHIPURAM 9TH STREET,12

VIVEKANANDA ROAD,34

DR ALAGAPPA CHETTIYAR ROAD,35

GANDHIPURAM 9TH STREET EXTENSION,7

KARUNA ELLAI COLONY,5

GANDHIPURAM 7TH STREET EXTN,3

GANDHIPURAM 3RD STREET,11

GANDHIPURAM 4TH  STREET,13

GANDHIPURAM 2ND STREET,12

GANDHIPURAM 1ST STREET,13

RAJU NAIDU LAYOUT 1,4

RAJU NAIDU LAYOUT 2,5

SASTRI NAGAR,9

LAKSHMAN NAGAR 1ST STREET,13

LAKSHMAN NAGAR 2ND STREET,6

VENKATASWAMY  ROAD,16

CHINNASAMY ROAD,2

RAVENDRANATH LAYOUT,5

ANNAPOORNA LAYOUT,11

AMBIKA LAYOUT,8

B.K.RANGANATHAN STREET,5

BHARATHIYAR ROAD,74

SAROJINI ROAD,27

V.K.K. MENON ROAD,28

THIRUVALLUVAR STREET,31

THIRUMALAISAMY STREET,3

GOVINDASAMY SALAI,1

N.G.NARAYANASWAMY STREET,10

PATEL ROAD,35

SATHYAMOORTHI ROAD,16

BALA SUNDARAM ROAD,48

RAM NAGAR,8

S N R STREET 3,4

S N R STREET 2,5

S N R STREET 4,3

S N R STREET 1,4

NANDHA GOPAL ROAD,8

MANDHIRIYAPPAN STREET,5

B.K.R NAGAR,7

NANDHA GOPAL ROAD 3,5

NANDHA GOPAL ROAD 2,3

BHARATHIYAR STREET,29

SAROJINI STREET 1,2

NANDHA GOPAL ROAD 1,5

